20MICRONS,20 Microns ,EQ,06-Oct-08,5,1,INE144J01027,5
21STCENMGM,21st Century Management Services ,BE,12-Apr-00,10,1,INE253B01015,10
3IINFOTECH,3i Infotech ,EQ,22-Apr-05,10,1,INE748C01020,10
3MINDIA,3M India ,EQ,13-Aug-04,10,1,INE470A01017,10
5PAISA,5Paisa Capital ,EQ,16-Nov-17,10,1,INE618L01018,10
63MOONS,63 moons technologies ,EQ,20-Jun-05,2,1,INE111B01023,2
8KMILES,8K Miles Software Services ,EQ,29-Jan-14,5,1,INE650K01021,5
A2ZINFRA,A2Z Infra Engineering ,EQ,23-Dec-10,10,1,INE619I01012,10
AARTIDRUGS,Aarti Drugs ,EQ,19-Sep-03,10,1,INE767A01016,10
AARTIIND,Aarti Industries ,EQ,08-Feb-95,5,1,INE769A01020,5
AARVEEDEN,Aarvee Denims & Exports ,EQ,21-Nov-06,10,1,INE273D01019,10
ABAN,Aban Offshore ,EQ,29-Mar-95,2,1,INE421A01028,2
ABB,ABB India ,EQ,08-Feb-95,2,1,INE117A01022,2
ABBOTINDIA,Abbott India ,EQ,08-Jan-10,10,1,INE358A01014,10
ABCAPITAL,Aditya Birla Capital ,EQ,01-Sep-17,10,1,INE674K01013,10
ABFRL,Aditya Birla Fashion and Retail ,EQ,17-Jul-13,10,1,INE647O01011,10
ABGSHIP,ABG Shipyard ,BZ,11-Apr-07,10,1,INE067H01016,10
ABMINTLTD,ABM International ,BE,14-Jun-16,10,1,INE251C01017,10
ACC,ACC ,EQ,20-Nov-96,10,1,INE012A01025,10
ACCELYA,Accelya Kale Solutions ,EQ,01-Dec-99,10,1,INE793A01012,10
ACE,Action Construction Equipment ,EQ,26-Sep-06,2,1,INE731H01025,2
ADANIENT,Adani Enterprises ,EQ,04-Jun-97,1,1,INE423A01024,1
ADANIPORTS,Adani Ports and Special Economic Zone ,EQ,27-Nov-07,2,1,INE742F01042,2
ADANIPOWER,Adani Power ,EQ,20-Aug-09,10,1,INE814H01011,10
ADANITRANS,Adani Transmission ,EQ,31-Jul-15,10,1,INE931S01010,10
ADFFOODS,ADF Foods ,EQ,15-Sep-10,10,1,INE982B01019,10
ADHUNIK,Adhunik Metaliks ,EQ,05-Apr-06,10,1,INE400H01019,10
ADHUNIKIND,Adhunik Industries ,EQ,01-Jul-16,10,1,INE452L01012,10
ADLABS,Adlabs Entertainment ,EQ,06-Apr-15,10,1,INE172N01012,10
ADORWELD,Ador Welding ,EQ,10-May-95,10,1,INE045A01017,10
ADSL,Allied Digital Services ,EQ,25-Jul-07,5,1,INE102I01027,5
ADVANIHOTR,Advani Hotels & Resorts (India) ,EQ,25-Jun-07,2,1,INE199C01026,2
ADVENZYMES,Advanced Enzyme Technologies ,EQ,01-Aug-16,2,1,INE837H01020,2
AEGISCHEM,Aegis Logistics ,EQ,03-Apr-96,1,1,INE208C01025,1
AFL,Accel Frontline ,EQ,30-Oct-06,10,1,INE020G01017,10
AGARIND,Agarwal Industrial Corporation ,BE,26-May-14,10,1,INE204E01012,10
AGCNET,AGC Networks ,EQ,22-Jul-03,10,1,INE676A01019,10
AGLSL,Artemis Global Life Sciences ,EQ,20-Jul-17,2,1,INE517U01013,2
AGRITECH,Agri-Tech (India) ,EQ,28-Jan-14,10,1,INE449G01018,10
AHLEAST,Asian Hotels (East) ,BE,11-Aug-10,10,1,INE926K01017,10
AHLUCONT,Ahluwalia Contracts (India) ,EQ,14-Dec-09,2,1,INE758C01029,2
AHLWEST,Asian Hotels (West) ,EQ,05-Aug-10,10,1,INE915K01010,10
AIAENG,AIA Engineering ,EQ,14-Dec-05,2,1,INE212H01026,2
AICHAMP,AI Champdany Industries ,BE,14-Feb-07,5,1,INE768E01024,5
AIFL,Ashapura Intimates Fashion ,EQ,02-Dec-15,10,1,INE428O01016,10
AJANTPHARM,Ajanta Pharma ,EQ,29-May-00,2,1,INE031B01049,2
AJMERA,Ajmera Realty & Infra India ,EQ,16-Jun-09,10,1,INE298G01027,10
AKSHARCHEM,AksharChem India ,EQ,28-Mar-17,10,1,INE542B01011,10
AKSHOPTFBR,Aksh Optifibre ,EQ,18-Aug-00,5,1,INE523B01011,5
AKZOINDIA,Akzo Nobel India ,EQ,28-Jun-01,10,1,INE133A01011,10
ALANKIT,Alankit ,EQ,30-Jun-15,1,1,INE914E01040,1
ALBERTDAVD,Albert David ,BE,14-Jun-16,10,1,INE155C01010,10
ALBK,Allahabad Bank,EQ,29-Nov-02,10,1,INE428A01015,10
ALCHEM,Alchemist ,BE,31-Jul-07,10,1,INE964B01033,10
ALEMBICLTD,Alembic ,EQ,22-Sep-99,2,1,INE426A01027,2
ALICON,Alicon Castalloy ,EQ,29-Sep-06,5,1,INE062D01024,5
ALKALI,Alkali Metals ,EQ,06-Nov-08,10,1,INE773I01017,10
ALKEM,Alkem Laboratories ,EQ,23-Dec-15,2,1,INE540L01014,2
ALKYLAMINE,Alkyl Amines Chemicals ,EQ,26-Nov-07,5,1,INE150B01021,5
ALLCARGO,Allcargo Logistics ,EQ,23-Jun-06,2,1,INE418H01029,2
ALLSEC,Allsec Technologies ,EQ,09-May-05,10,1,INE835G01018,10
ALMONDZ,Almondz Global Securities ,EQ,16-Jun-08,6,1,INE326B01027,6
ALOKTEXT,Alok Industries ,EQ,10-Apr-96,10,1,INE270A01011,10
ALPA,Alpa Laboratories ,EQ,06-Aug-07,10,1,INE385I01010,10
ALPHAGEO,Alphageo (India) ,EQ,11-May-07,10,1,INE137C01018,10
ALPSINDUS,Alps Industries ,EQ,24-Apr-96,10,1,INE093B01015,10
AMARAJABAT,Amara Raja Batteries ,EQ,05-Sep-03,1,1,INE885A01032,1
AMBER,Amber Enterprises India ,EQ,30-Jan-18,10,1,INE371P01015,10
AMBIKCO,Ambika Cotton Mills ,EQ,29-Jan-08,10,1,INE540G01014,10
AMBUJACEM,Ambuja Cements ,EQ,18-Feb-98,2,1,INE079A01024,2
AMDIND,AMD Industries ,EQ,19-Mar-07,10,1,INE005I01014,10
AMJLAND,Amj Land Holdings ,EQ,08-Feb-95,2,1,INE606A01024,2
AMRUTANJAN,Amrutanjan Health Care ,EQ,02-Jan-15,2,1,INE098F01023,2
AMTEKAUTO,Amtek Auto ,EQ,02-Mar-05,2,1,INE130C01021,2
ANANTRAJ,Anant Raj ,EQ,27-Sep-06,2,1,INE242C01024,2
ANDHRABANK,Andhra Bank,EQ,04-Apr-01,10,1,INE434A01013,10
ANDHRACEMT,Andhra Cements ,EQ,08-Nov-10,10,1,INE666E01012,10
ANDHRSUGAR,The Andhra Sugars ,EQ,01-Nov-95,10,1,INE715B01013,10
ANGIND,ANG Industries ,EQ,12-Feb-07,10,1,INE017D01010,10
ANIKINDS,Anik Industries ,EQ,21-May-08,10,1,INE087B01017,10
ANSALAPI,Ansal Properties & Infrastructure ,EQ,27-Jan-06,5,1,INE436A01026,5
ANSALHSG,Ansal Housing and Construction ,EQ,06-Oct-06,10,1,INE880B01015,10
ANTGRAPHIC,Antarctica ,BE,14-Jun-00,1,1,INE414B01021,1
APARINDS,Apar Industries ,EQ,12-Jul-04,10,1,INE372A01015,10
APCL,Anjani Portland Cement ,EQ,10-Apr-17,10,1,INE071F01012,10
APCOTEXIND,Apcotex Industries ,EQ,06-Sep-95,5,1,INE116A01024,5
APEX,Apex Frozen Foods ,EQ,04-Sep-17,10,1,INE346W01013,10
APLAPOLLO,APL Apollo Tubes ,EQ,14-Dec-11,10,1,INE702C01019,10
APLLTD,Alembic Pharmaceuticals ,EQ,20-Sep-11,2,1,INE901L01018,2
APOLLO,Apollo Micro Systems ,EQ,22-Jan-18,10,1,INE713T01010,10
APOLLOHOSP,Apollo Hospitals Enterprise ,EQ,10-Jan-96,5,1,INE437A01024,5
APOLLOTYRE,Apollo Tyres ,EQ,31-May-95,1,1,INE438A01022,1
APOLSINHOT,Apollo Sindoori Hotels ,EQ,28-Jan-15,10,1,INE451F01016,10
APTECHT,Aptech ,EQ,27-Sep-02,10,1,INE266F01018,10
ARCHIDPLY,Archidply Industries ,EQ,04-Jul-08,10,1,INE877I01016,10
ARCHIES,Archies ,EQ,02-Sep-98,2,1,INE731A01020,2
ARCOTECH,Arcotech ,EQ,16-Apr-14,2,1,INE574I01035,2
ARENTERP,Rajdarshan Industries ,EQ,18-Oct-95,10,100,INE610C01014,10
ARIES,Aries Agro ,EQ,11-Jan-08,10,1,INE298I01015,10
ARIHANT,Arihant Foundations & Housing ,BE,26-Dec-06,10,1,INE413D01011,10
ARIHANTSUP,Arihant Superstructures ,EQ,28-Mar-17,10,1,INE643K01018,10
ARMANFIN,Arman Financial Services ,EQ,14-Jun-16,10,1,INE109C01017,10
AROGRANITE,Aro Granite Industries ,EQ,24-Apr-07,10,1,INE210C01013,10
ARROWGREEN,Arrow Greentech ,EQ,21-May-15,10,1,INE570D01018,10
ARROWTEX,Arrow Textiles ,EQ,11-May-09,10,1,INE933J01015,10
ARSHIYA,Arshiya ,EQ,14-Dec-09,2,1,INE968D01022,2
ARSSINFRA,ARSS Infrastructure Projects ,BE,03-Mar-10,10,1,INE267I01010,10
ARVIND,Arvind ,EQ,08-Feb-95,10,1,INE034A01011,10
ARVSMART,Arvind SmartSpaces ,EQ,26-Aug-15,10,1,INE034S01021,10
ASAHIINDIA,Asahi India Glass ,EQ,18-Mar-98,1,1,INE439A01020,1
ASAHISONG,Asahi Songwon Colors ,EQ,29-Aug-11,10,1,INE228I01012,10
ASAL,Automotive Stampings and Assemblies ,EQ,12-Mar-02,10,1,INE900C01027,10
ASHAPURMIN,Ashapura Minechem ,EQ,20-Sep-95,2,1,INE348A01023,2
ASHIANA,Ashiana Housing ,EQ,29-Jun-11,2,1,INE365D01021,2
ASHIMASYN,Ashima ,EQ,27-Jul-95,10,1,INE440A01010,10
ASHOKA,Ashoka Buildcon ,EQ,14-Oct-10,5,1,INE442H01029,5
ASHOKLEY,Ashok Leyland ,EQ,25-May-95,1,1,INE208A01029,1
ASIANHOTNR,Asian Hotels (North) ,BE,07-Apr-10,10,1,INE363A01022,10
ASIANPAINT,Asian Paints ,EQ,31-May-95,1,1,INE021A01026,1
ASIANTILES,Asian Granito India ,EQ,23-Aug-07,10,1,INE022I01019,10
ASPINWALL,Aspinwall and Company ,EQ,14-Jun-16,10,1,INE991I01015,10
ASSAMCO,Assam Company India ,EQ,29-Sep-06,1,1,INE442A01024,1
ASTEC,Astec LifeSciences ,EQ,25-Nov-09,10,1,INE563J01010,10
ASTRAL,Astral Poly Technik ,EQ,20-Mar-07,1,1,INE006I01046,1
ASTRAMICRO,Astra Microwave Products ,EQ,01-Nov-04,2,1,INE386C01029,2
ASTRAZEN,AstraZeneca Pharma India ,EQ,04-May-01,2,1,INE203A01020,2
ASTRON,Astron Paper & Board Mill ,EQ,29-Dec-17,10,1,INE646X01014,10
ATFL,Agro Tech Foods ,EQ,06-Dec-02,10,1,INE209A01019,10
ATLANTA,Atlanta  ,EQ,25-Sep-06,2,1,INE285H01022,2
ATLASCYCLE,Atlas Cycles (Haryana) ,BE,26-Apr-00,5,1,INE446A01025,5
ATUL,Atul ,EQ,06-May-98,10,1,INE100A01010,10
ATULAUTO,Atul Auto ,EQ,26-Jun-13,5,1,INE951D01028,5
AUBANK,AU Small Finance Bank ,EQ,10-Jul-17,10,1,INE949L01017,10
AURIONPRO,Aurionpro Solutions ,EQ,25-Oct-05,10,1,INE132H01018,10
AUROPHARMA,Aurobindo Pharma ,EQ,19-Jul-00,1,1,INE406A01037,1
AUSOMENT,Ausom Enterprise ,EQ,17-Apr-96,10,1,INE218C01016,10
AUTOAXLES,Automotive Axles ,EQ,29-May-03,10,1,INE449A01011,10
AUTOIND,Autoline Industries ,EQ,31-Jan-07,10,1,INE718H01014,10
AUTOLITIND,Autolite (India) ,EQ,31-May-95,10,1,INE448A01013,10
AVADHSUGAR,Avadh Sugar & Energy ,EQ,28-Jul-17,10,1,INE349W01017,10
AVANTIFEED,Avanti Feeds ,EQ,15-Apr-15,2,1,INE871C01020,2
AVTNPL,AVT Natural Products ,EQ,10-Jan-07,1,1,INE488D01021,1
AXISBANK,Axis Bank ,EQ,16-Nov-98,2,1,INE238A01034,2
AXISCADES,AXISCADES Engineering Technologies ,EQ,21-Dec-00,5,1,INE555B01013,5
AYMSYNTEX,AYM Syntex ,EQ,14-Aug-15,10,1,INE193B01039,10
BAFNAPHARM,Bafna Pharmaceuticals ,EQ,12-Nov-12,10,1,INE878I01014,10
BAGFILMS,B.A.G Films and Media ,EQ,17-Oct-03,2,1,INE116D01028,2
BAJAJ-AUTO,Bajaj Auto ,EQ,26-May-08,10,1,INE917I01010,10
BAJAJCORP,Bajaj Corp ,EQ,18-Aug-10,1,1,INE933K01021,1
BAJAJELEC,Bajaj Electricals ,EQ,02-Nov-07,2,1,INE193E01025,2
BAJAJFINSV,Bajaj Finserv ,EQ,26-May-08,5,1,INE918I01018,5
BAJAJHIND,Bajaj Hindusthan Sugar ,EQ,10-May-95,1,1,INE306A01021,1
BAJAJHLDNG,Bajaj Holdings & Investment ,EQ,15-Mar-95,10,1,INE118A01012,10
BAJFINANCE,Bajaj Finance ,EQ,01-Apr-03,2,1,INE296A01024,2
BALAJITELE,Balaji Telefilms ,EQ,22-Nov-00,2,1,INE794B01026,2
BALAMINES,Balaji Amines ,EQ,05-Apr-07,2,1,INE050E01027,2
BALAXI,Balaxi Ventures ,BE,30-Nov-15,10,1,INE618N01014,10
BALKRISHNA,Balkrishna Paper Mills ,EQ,28-Jul-15,10,1,INE875R01011,10
BALKRISIND,Balkrishna Industries ,EQ,27-Jan-06,2,1,INE787D01026,2
BALLARPUR,Ballarpur Industries ,EQ,31-Mar-08,2,1,INE294A01037,2
BALMLAWRIE,Balmer Lawrie & Company ,EQ,06-Jul-95,10,1,INE164A01016,10
BALPHARMA,Bal Pharma ,EQ,08-May-06,10,1,INE083D01012,10
BALRAMCHIN,Balrampur Chini Mills ,EQ,08-Feb-95,1,1,INE119A01028,1
BANARBEADS,Banaras Beads ,EQ,07-Jul-95,10,100,INE655B01011,10
BANARISUG,Bannari Amman Sugars ,EQ,28-May-03,10,1,INE459A01010,10
BANCOINDIA,Banco Products (I) ,EQ,22-Dec-06,2,1,INE213C01025,2
BANG,Bang Overseas ,EQ,20-Feb-08,10,1,INE863I01016,10
BANKBARODA,Bank of Baroda,EQ,19-Feb-97,2,1,INE028A01039,2
BANKINDIA,Bank of India,EQ,30-Apr-97,10,1,INE084A01016,10
BANSWRAS,Banswara Syntex ,EQ,11-Apr-07,10,1,INE629D01012,10
BARTRONICS,Bartronics India ,EQ,12-Jan-06,10,1,INE855F01034,10
BASF,BASF India ,EQ,17-May-95,10,1,INE373A01013,10
BASML,Bannari Amman Spinning Mills ,EQ,14-Nov-05,10,1,INE186H01014,10
BATAINDIA,Bata India ,EQ,18-Jun-03,5,1,INE176A01028,5
BAYERCROP,Bayer Cropscience ,EQ,08-Jan-10,10,1,INE462A01022,10
BBL,Bharat Bijlee ,EQ,21-Nov-06,10,1,INE464A01028,10
BBTC,Bombay Burmah Trading Corporation ,EQ,03-Apr-96,2,1,INE050A01025,2
BEARDSELL,Beardsell ,EQ,13-Jan-15,2,1,INE520H01022,2
BEDMUTHA,Bedmutha Industries ,EQ,14-Oct-10,10,1,INE844K01012,10
BEL,Bharat Electronics ,EQ,19-Jul-00,1,1,INE263A01024,1
BEML,BEML ,EQ,05-Nov-03,10,1,INE258A01016,10
BEPL,Bhansali Engineering Polymers ,EQ,21-Mar-05,1,1,INE922A01025,1
BERGEPAINT,Berger Paints (I) ,EQ,24-Nov-99,1,1,INE463A01038,1
BFINVEST,BF Investment ,EQ,14-Jan-11,5,1,INE878K01010,5
BFUTILITIE,BF Utilities ,EQ,03-May-07,5,1,INE243D01012,5
BGLOBAL,Bharatiya Global Infomedia ,BE,28-Jul-11,10,1,INE224M01013,10
BGRENERGY,BGR Energy Systems ,EQ,03-Jan-08,10,1,INE661I01014,10
BHAGERIA,Bhageria Industries ,EQ,02-Mar-16,5,1,INE354C01027,5
BHAGYANGR,Bhagyanagar India ,EQ,17-May-17,2,1,INE458B01036,2
BHAGYAPROP,Bhagyanagar Properties ,EQ,20-Jul-17,2,1,INE363W01018,2
BHANDARI,Bhandari Hosiery Exports ,EQ,30-Jan-17,1,1,INE474E01029,1
BHARATFIN,Bharat Financial Inclusion ,EQ,16-Aug-10,10,1,INE180K01011,10
BHARATFORG,Bharat Forge ,EQ,04-Apr-03,2,1,INE465A01025,2
BHARATGEAR,Bharat Gears ,EQ,03-Apr-96,10,1,INE561C01019,10
